Sentence,Global Reporting Initiative,Integrated Reporting,Task Force on Climate-related Financial Disclosure
"For example, we won bids with our partners to build four offshore wind farms in Europe and the USA, which together have the potential to 
generate 7.3 gigawatts of power.",0.5038442611694336,0.36793389916419983,0.128221794962883
We acquired Indian solar developer Sprng Energy.,0.7595951557159424,0.12420956045389175,0.11619530618190765
"And in 2023, we completed the acquisition of Nature 
Energy of Denmark, which is Europe's biggest producer of renewable natural gas made from agricultural, industrial and household waste.",0.510337233543396,0.28347542881965637,0.2061873972415924
"In 
Nigeria, we acquired solar provider Daystar Power, which provides reliable power to commercial and industrial customers.",0.543362021446228,0.3217364251613617,0.1349014937877655
"In total, around 41% of our annual spending on research and development goes on projects that contribute to decarbonisation.",0.43956616520881653,0.3566914200782776,0.20374242961406708
02 Shell Sustainability Report 2022,0.8145499229431152,0.09306065738201141,0.09238943457603455
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Respecting nature
Powering Progress is also about respecting nature - the loss of our natural environment and climate change are interconnected and need to be 
tackled together.",0.6456217765808105,0.2086506336927414,0.14572758972644806
This was reinforced by both United Nations conferences on climate change (COP27) and biodiversity (COP15) in 2022.,0.5699921250343323,0.35956236720085144,0.07044553756713867
"Biodiversity, water, circular economy and waste, and air quality: these are the four areas we focus on in our commitments to respect nature.",0.4534391760826111,0.4400668144226074,0.1064939796924591
"For instance, we are working to help end plastic waste in the environment.",0.5239436030387878,0.3791556656360626,0.09690068662166595
"By the end of 2022, more than 30% of Shell-owned service stations 
had eliminated unnecessary single-use plastic and almost 40% had completely removed single-use plastic bags.",0.5219281911849976,0.3374352753162384,0.14063654839992523
"In 2022, we announced plans to increase our global production of pyrolysis oil, made from hard-to-recycle plastics otherwise destined for landfill 
or incineration, by building a new pyrolysis oil upgrader in the Netherlands.",0.4375559687614441,0.41759011149406433,0.14485393464565277
Pyrolysis oil can replace traditional feedstock in our chemical plants.,0.5886676907539368,0.2564161717891693,0.15491613745689392
"Powering lives
Shell provides vital energy for homes, businesses and transport.",0.46107128262519836,0.29809895157814026,0.24082978069782257
"Every year we generate jobs, revenues and taxes in the countries where we 
operate.",0.654327392578125,0.1808055192232132,0.1648670881986618
"In 2022, we employed around 93,000 people in more than 70 countries and spent about $41.5 billion on goods and services, 83% of 
which we purchased locally in the country of operation.",0.4549970030784607,0.3222786486148834,0.22272434830665588
"Globally, we paid more than $13 billion to governments in taxes.",0.5245752334594727,0.2867140471935272,0.18871070444583893
"Our enterprise development programmes promote entrepreneurship, innovation and meaningful employment in our host countries.",0.5594443082809448,0.33105725049972534,0.10949850082397461
"In 2022, Shell 
LiveWIRE trained around 2,685 people and helped create more than 2,170 jobs in 20 countries, while Shell StartUp Engine supported 50 start­
ups in areas such as renewable energy and electric mobility.",0.45214253664016724,0.3792620599269867,0.16859540343284607
"While we know there is still much more to do, we are working to become one of the most diverse and inclusive organisations in the world.",0.4636758863925934,0.30748751759529114,0.22883665561676025
"For 
example, almost one-third of our senior leadership and just under half of our graduate hires are women.",0.5337594151496887,0.30704447627067566,0.159196138381958
We respect human rights in our business and work hard to ensure that our joint-venture partners and supply chains follow the same principles.,0.4821963310241699,0.3624890148639679,0.15531465411186218
"We also continue to support the UN Global Compact's corporate governance principles on human rights, environmental protection, anti­
corruption and better labour practices.",0.466714084148407,0.38672882318496704,0.14655712246894836
"Safety and our core values
Although we continue to make progress in safety across our operations and within our industry, we have not been able to eliminate fatal 
accidents involving Shell employees and contractors.",0.3994627594947815,0.36030447483062744,0.24023276567459106
"I am saddened to report that two of our contractor colleagues died in 2022, one in 
Nigeria and one in Pakistan.",0.6071531176567078,0.20489820837974548,0.18794865906238556
"Finally, on a personal note, I am proud to be sharing with you this, my first Shell Sustainability Report as CEO.",0.570794939994812,0.30414310097694397,0.1250619888305664
"This report shows what we have 
achieved so far in our work to be a sustainable business.",0.5461474657058716,0.30380508303642273,0.1500474363565445
"We aim to do this work responsibly, with discipline and at pace to make a positive 
difference.",0.3776242136955261,0.3751777708530426,0.2471979707479477
"Wael Sawan
Chief Executive Officer
|Q More in this report Sustainability at Shell | Our journey to achieving net zero | Our approach to respecting nature | Providing access to energy 
@ More on Shell websites Our strategy: Powering Progress
03 Shell Sustainability Report 2022",0.7783625721931458,0.153855100274086,0.06778233498334885
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Powering Progress
Our purpose
To power progress 
together by providing 
more and cleaner 
energy solutions.",0.5623584389686584,0.24859990179538727,0.1890416443347931
"Underpinned by our core values and our focus on safety
Our core values
Honesty | Integrity | Respect for people
IQ More in this report Letter from the CEO | Sustainability at Shell | Sustainability governance | Performance overview 
@ More on Shell websites Our strategy: Powering Progress
04 Shell Sustainability Report 2022",0.757046103477478,0.18967631459236145,0.05327751114964485
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Our approach to sustainability
Sustainability at Shell
Powering Progress is our strategy to become a net-zero emissions energy business by 2050, purposefully and profitably, while maintaining a 
secure supply of energy.",0.425772488117218,0.31907206773757935,0.255155473947525
"It comprises: generating shareholder value, achieving net-zero emissions, powering lives, and respecting nature.",0.6903796195983887,0.15987348556518555,0.14974690973758698
"It is a strategy that integrates 
sustainability with our pursuit of value through high performance.",0.4050200581550598,0.3182215988636017,0.2767583727836609
Our purpose is to power progress together by providing more and cleaner energy solutions.,0.4614882469177246,0.3065641522407532,0.23194767534732819
"We also expect our employees and contractors to 
maintain Shell's focus on safety and abide by our core values of honesty, integrity and respect for people.",0.4584648907184601,0.320636510848999,0.2208985984325409
"Powering Progress is a strategy that combines our financial strength and discipline with a dynamic approach to our portfolio of assets and 
products, so we can seize the opportunities of the energy transition.",0.4089164733886719,0.30573055148124695,0.2853529453277588
"Shell transforms its portfolio continuously to better meet the clean energy 
needs of its customers today and in the future.",0.42317837476730347,0.37320542335510254,0.2036161869764328
"Read more about what sustainability means at Shell at www.shell.com/sustainability/our-approach/sustainability-at-shell and more about our 
strategy at www.shell.com/powering-progress.",0.5792940258979797,0.27953481674194336,0.14117120206356049
"UN Sustainable Development Goals
We strive to play our part in helping governments and societies achieve the UN's 17 Sustainable Development Goals (SDGs).",0.41394126415252686,0.3749278783798218,0.21113087236881256
"The goals were 
one of the considerations in the development of our Powering Progress strategy.",0.4697904586791992,0.33360809087753296,0.19660140573978424
"We believe the actions we take as part of our Powering Progress 
strategy can help directly contribute to 13 of the SDGs, while indirectly contributing to others.",0.4286288321018219,0.4047561585903168,0.16661503911018372
Information on how we are contributing to these SDGs can be found throughout this report and at www.shell.com/sdgs.,0.5570374727249146,0.33056870102882385,0.11239378154277802
"ID More in this report Our journey to achieving net zero | Our Powering Progress targets | Sustainability governance | Performance overview
@ More on Shell websites Our strategy: Powering Progress | What sustainability means at Shell | Commitments, policies and standards | UN Sustainable Development Goals
Sustainability governance
We have comprehensive governance structures throughout Shell, along with performance standards and other controls.",0.6375376582145691,0.2842552065849304,0.0782070904970169
"These include the 
Shell General Business Principles, our Code of Conduc t and our Health, Safety, Security, Environment and Social Performance (HSSE & SP) 
Control Framework.",0.43030986189842224,0.3307148516178131,0.23897525668144226
They influence the decisions made and actions taken across Shell.,0.4197748899459839,0.3295656144618988,0.2506594955921173
"The Safety, Environment and Sustainability Committee (SESCo) is one of four standing committees of the Board of Directors of Shell pic.",0.5301865935325623,0.2694677710533142,0.20034565031528473
"The 
overall role of SESCo is to assist the Board in reviewing the policies, practices, targets and performance of Shell, primarily with respect to safety, 
environment including climate change, and broader sustainability.",0.5100808143615723,0.3495337665081024,0.14038540422916412
"In 2022, SESCo held five meetings.",0.6647958755493164,0.20383776724338531,0.1313662976026535
"The topics discussed in depth by the Committee included personal and process safety, environmental issues, 
Shell's energy transition targets, remuneration metrics and the challenges faced by Shell companies in Nigeria.",0.4963281452655792,0.3457637429237366,0.15790808200836182
"The Committee also reviewed wider matters of public concern such as plastic waste, methane emissions, the flaring of natural gas, water scarcity, 
just transition, human rights, diversity and inclusion, and access to energy in low- and middle-income countries.",0.6416130065917969,0.28170573711395264,0.07668130099773407
"The Committee engaged with 
external stakeholders on the topic of nature-based solutions and gained valuable insights on how Shell's approach is perceived.",0.43576836585998535,0.4182075560092926,0.14602412283420563
"SESCo continued to monitor Shell's approach to the health of its employees and contractors, in terms of mental well-being in particular.",0.5857514142990112,0.2636072337627411,0.1506413370370865
"The 
Committee also continued to review the security risks faced by Shell and how these risks are being proactively managed.",0.39788681268692017,0.3958342373371124,0.2062789648771286
"Read more about SESCo and how Shell manages sustainability at www.shell.com/sustainability/our-approach/governance and in our
2022 Annual Report.",0.7357901334762573,0.18178392946720123,0.08242588490247726
"ID More in this report Our journey to achieving net zero | Our approach to safety | Energy transition | Our approach to respecting nature
@ More on Shell websites Our strategy: Powering Progress | Board of Directors | Sustainability governance
05 Shell Sustainability Report 2022",0.8010228872299194,0.1525525599718094,0.04642452672123909
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Performance overview
Performance in 2022
1.7
2021:6.9 
serious injuries and 
fatalities per 100 million 
working hours.",0.5472722053527832,0.27129626274108887,0.1814315915107727
"See 
Our approach to safety
66
2021:103
operational process 
safety Tier 1 and 2 events.",0.6151556968688965,0.19990608096122742,0.18493831157684326
"See Process safety
1,790
2021:1,479 
reports to the Shell 
Global Helpline, where 
people can report 
potential breaches of the 
Code of Conduct.",0.5894971489906311,0.339121013879776,0.07138189673423767
"See 
Ethical leadership
$41.5 billion
2021: $37.5 billion 
spent on goods and 
services from around 
24,000 suppliers 
globally.",0.469026654958725,0.3896486759185791,0.1413246989250183
"See
Supply chain
$5 billion
2021: $4.2 billion 
spent in countries where 
gross national income is 
less than $15,000 a year 
per person.",0.49921759963035583,0.28433218598365784,0.21645018458366394
"[C] See 
Local content76 gCO2e/MJ
2021:77gCO2e/MJ 
net carbon intensity, 
which measures the life­
cycle emissions intensity 
of the portfolio of energy 
products sold.",0.5596921443939209,0.23596571385860443,0.20434212684631348
"See 
Delivering our climate 
targets30%
2021:18% 
reduction in our total 
combined Scope 1 and 2 
absolute greenhouse gas 
emissions compared with 
2016, the base year.",0.7241608500480652,0.17890948057174683,0.09692967683076859
"[A] 
See
Delivering our climate 
targets
9.5 billion
2021:9.1 billion 
litres of biofuels went into 
Shell's petrol and diesel 
worldwide.",0.5260488390922546,0.2698379456996918,0.20411325991153717
"[B] See 
Biofuels139,000
2021:87,000 
public and private electric 
vehicle charge points 
operated by Shell.",0.5007219910621643,0.31823474168777466,0.181043341755867
"See 
Electric vehicle charging
32% increase
2021:40% decrease 
in the number of 
operational spills of more 
than 100 kilograms.",0.49631932377815247,0.3218071460723877,0.18187353014945984
"There 
were 54 in 2022 
compared with 41 in 
2021.",0.4255053400993347,0.34932181239128113,0.22517277300357819
"See Spills33% decrease
2021:18% increase 
in flaring.",0.487411767244339,0.30303335189819336,0.20955488085746765
"Overall flaring 
decreased to 3 million 
tonnes of carbon dioxide 
equivalent compared with 
4.5 million tonnes in
2021.",0.4498673975467682,0.3112320899963379,0.2389005571603775
"See Flaring
30.4%
2021:29.5% 
women in senior 
leadership positions.",0.6057286858558655,0.20480933785438538,0.18946190178394318
"See
Diversity, equity and 
inclusion$182 million
2021: $94 million 
spent on voluntary social 
investment.",0.7814094424247742,0.1412450224161148,0.07734554260969162
"See
Social investment
266,000
2021:271,000 
formal training days for 
employees and joint­
venture partners.",0.6043516397476196,0.20739786326885223,0.18825049698352814
"See 
Diversity, equity and 
inclusion78,300
2021:60,000 
students participated in 
NXplorers, our flagship 
STEM programme.",0.6978492736816406,0.16894188523292542,0.13320884108543396
"See 
SIEMeducation
[A] From assets and activities under our operational control.",0.8170817494392395,0.09499245882034302,0.08792579919099808
[B] Including around 3 billion litres through our joint venture Raizen.,0.6987719535827637,0.16097064316272736,0.14025737345218658
[C] According to the UN Development Programme's Human Development Index 2021.,0.6330732107162476,0.24871550500392914,0.1182113066315651
"IB More in this report Our journey to achieving net zero | Letter from the CEO | Our Powering Progress targets
@ More on Shell websites Powering Progress - transitioning to net-zero emissions
06 Shell Sustainability Report 2022",0.9244083166122437,0.050431475043296814,0.025160159915685654
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Remuneration
POWERING PROGRESS
In 2022, we linked the pay of more than 16,500 staff to our target to reduce the carbon intensity of our energy products by 9-12% by
2024, compared with 2016.",0.45977601408958435,0.277261883020401,0.26296210289001465
"Performance indicators related to Shell's journey in the energy transition were part of the 2022 annual bonus scorecard (15% weighting), which 
applies to almost all of Shell's employees.",0.4084044396877289,0.3812890350818634,0.2103065401315689
"Energy transition performance indicators were also part of the 2022 Performance Share Plan awards 
(10% weighting) for around 16,500 employees and the 2022 Long-term Incentive Plan awards (20% weighting) for senior executives.",0.5622379183769226,0.22537565231323242,0.2123863697052002
"From 2022, the scope of the ""Shell's journey in the energy transition"" measure in the annual bonus scorecard has been broadened to equally 
measure:
■ selling lower-carbon products: the proportion of adjusted earnings in our Marketing segment coming from lower-carbon energy products, as 
well as non-energy products and convenience retail;
■ reducing our operational emissions: greenhouse gas abatement projects that reduce our Scope 1 and 2 operational emissions; and
■ partnering to decarbonise: progress in rolling out electric vehicle charge points.",0.3608260154724121,0.3398418426513672,0.29933205246925354
"We also introduced a customer excellence measure on the annual bonus scorecard to emphasise the importance of building stronger customer 
relationships in the energy transition.",0.42696496844291687,0.29192787408828735,0.2811071276664734
The annual bonus scorecard also includes a 15% weighting based on safety performance.,0.7068344354629517,0.18173938989639282,0.11142615973949432
"Our Long-term Incentive Plan (LTIP) and Performance Share Plan tie pay for around 16,500 employees directly to achieving our strategic 
ambitions for the energy transition.",0.4582767188549042,0.31984254717826843,0.2218807488679886
"This element, vested at 180% of target based on performance to the end of 2022, reflects our progress in 
transitioning towards a lower-carbon future.",0.49438801407814026,0.2604213356971741,0.24519066512584686
"The weight of this metric will be increased from 20% to 25% for the most senior employees for the 
upcoming LTIP cycle (2023-25).",0.4268278181552887,0.2974856197834015,0.2756865322589874
Read more about remuneration in our 2022 Annual Report.,0.7501013278961182,0.1608894318342209,0.08900915831327438
07 Shell Sustainability Report 2022,0.7567346096038818,0.12168882042169571,0.12157659232616425
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Annual bonus scorecard architecture 2023 
Percentage
a ■ Cash flow from operations 
(weighted 35%)
b ■ Operational excellence
(Asset management excellence 15%, 
project delivery excellence 10%, 
customer excellence 10%)
c ■ Shell's journey in the energy transition 
(Selling lower-carbon products 5%, 
reducing operational emissions 5%, 
partnering to decarbonise 5%)
d  Safety
(Serious injuries and fatalities frequency 7.5%, 
Tier 1 and 2 process safety 7.5%)Long-term Incentive Plan performance conditions 2023 
Percentage
a ■ Relative cash generation (cash flow 
from operations/average capital 
employed) (weighted 25%) 
b ■ Relative total shareholder returns (25%) 
c ■ Absolute organic free cash flow (25%) 
d  Absolute energy transition (25%)
Performance against the relative metrics is 
assessed against other energy majors (BP, 
Chevron, ExxonMobil and TotalEnergies).",0.6030029058456421,0.22080498933792114,0.17619210481643677
"IQ More in this report Our journey to achieving net zero | Energy transition | Delivering our climate targets
@ More on Shell websites Our strategy: Powering Progress | Leadership | Corporate governance
08 Shell Sustainability Report 2022",0.8455777168273926,0.11690777540206909,0.03751453757286072
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
About this report
Selecting the topics
The 2022 Sustainability Report, published on March 28, 2023, is our 26th such report.",0.6322864890098572,0.222305029630661,0.14540843665599823
"It details our social, safety and environmental 
performance in 2022.",0.6678304076194763,0.19765810668468475,0.13451150059700012
Each year we use a structured process to select the report's content.,0.3641325533390045,0.3489697575569153,0.2868976891040802
"We engage with various groups and individuals to understand specific 
concerns about our business and its impact, particularly relating to the environment and society.",0.4162724018096924,0.3293522596359253,0.2543753385543823
"We consider the views of others such as non­
governmental organisations, customers, the media, academics, investors and employees.",0.5917215347290039,0.25077781081199646,0.15750066936016083
"Input from our Report Review Panel of independent experts helps to ensure that coverage is balanced, relevant and complete.",0.5536604523658752,0.30450400710105896,0.1418355107307434
Read more about our topic selection process at www.shell.com/sustainability/transparency-and-sustainability-reporting/sustainability-reports.,0.44444289803504944,0.3283933699131012,0.22716371715068817
"Reporting guidelines
Our reporting is informed by the guidelines developed by Ipieca, the global oil and gas industry association for advancing environmental and 
social performance across the energy transition, and in accordance with the Global Reporting Initiative (GRI) Standards (see the 
GRI content index for full details).",0.9241687059402466,0.04385346919298172,0.03197775408625603
"As a member of the World Business Council for Sustainable Development, we support the organisation's updated criteria for membership from 
2022, which includes requirements for corporate transparency.",0.40297481417655945,0.3997744619846344,0.19725066423416138
The recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) guide our reporting in our Annual Report.,0.7738721966743469,0.15935222804546356,0.06677556037902832
"Our climate- 
related financial disclosures are consistent with all of the TCFD recommendations and recommended disclosures.",0.7789084315299988,0.1371641755104065,0.08392740786075592
"We recognise the value that the 
recommendations bring.",0.39158210158348083,0.3347553312778473,0.27366259694099426
More detailed information about how we report is available at www.shell.com/sustainability/transparency-and-sustainability-reporting.html.,0.3956342935562134,0.364555686712265,0.2398100644350052
"IQ More in this report Sustainability at Shell | About our data | Our standards and policies | GRI table
@ More on Shell websites Our strategy: Powering Progress | Voluntary reporting standards and ESG ratings
Report Review Panel
We use an external review panel to strengthen our sustainability reporting.",0.7190221548080444,0.18737274408340454,0.0936051458120346
"The panel helps evaluate and improve the quality and credibility of 
our Sustainability Report.",0.45914149284362793,0.3144766390323639,0.22638188302516937
"The 2022 Report Review Panel comprised five sustainability and corporate reporting experts:
■ Hilary Parsons, UK, formerly Head of Creating Shared Value Engagement, Nestle (Chair of the Report Review Panel);
■ Vanessa Zimmerman, Australia, Chief Executive Officer, Pillar Two;
■ Renard Siew, Malaysia, Adviser on Climate Change, Centre for Governance and Political Studies;
■ Elizabeth White, USA, Principal Strategist and Global Head Sustainability and Development Impact, Sector Economics and Impact 
Measurement, IFC World Bank Group; and
■ Maria Pontes, UK, Director of Programmes and Partnerships, Earthwatch Europe.",0.503426194190979,0.364907830953598,0.13166595995426178
The panel provided input into our 2022 topic selection process.,0.34387198090553284,0.3350253701210022,0.32110270857810974
"Panel members reviewed the report, discussed Shell's reporting and spoke to 
relevant Shell employees before preparing their statement.",0.4936036169528961,0.28686052560806274,0.21953585743904114
"The panel's mandate focused on the quality of Shell's reporting, including credibility, 
completeness and responsiveness.",0.40854182839393616,0.327617347240448,0.26384079456329346
"The panel is not accountable for reviewing the data in the report or material on Shell.com outside the bounds 
of this report.",0.5261583924293518,0.30741530656814575,0.16642636060714722
Panel members are offered an honorarium for their input.,0.5367711782455444,0.262109637260437,0.20111918449401855
Find out more about the panel at www.shell.com/sustainability-report-review-panel.,0.5899632573127747,0.25766703486442566,0.1523696631193161
09 Shell Sustainability Report 2022,0.7870282530784607,0.10722152888774872,0.10575028508901596
"Sustainability at Achieving net-zero
Shell Our core values emissions Respecting nature Powering livesGenerating
shareholder valueOur performance
data Ck «- =
Report Review Panel recommendations
""Shell has provided the panel with the opportunity to review two drafts of the 2022 Sustainability Report and to provide written and 
verbal feedback.",0.6910715699195862,0.1967131495475769,0.11221523582935333
This feedback has been considered by Shell in producing the final version of the report.,0.3534954786300659,0.34159672260284424,0.30490782856941223
"In 2021, Shell significantly changed its approach to sustainability reporting in order to focus more on the data and less on qualitative and 
contextual information, which is now referenced on its website.",0.3829573094844818,0.32075026631355286,0.29629239439964294
"This has resulted in a far more concise and logical report with links to 
further information located on Shell.com.",0.6502933502197266,0.20678570866584778,0.14292098581790924
The panel has not reviewed this additional information as it is not within our remit.,0.3607410192489624,0.3215576410293579,0.3177013695240021
"The panel welcomes this more concise approach which recognises the need to provide succinct, digestible information to stakeholders 
while giving them a brief explanation of context and links to further details.",0.38817471265792847,0.324733704328537,0.28709155321121216
"Following the panel's feedback last year that the 2021 report 
could have included more context, the panel noted an improvement in the balance between data and context over the previous year.",0.4390711784362793,0.3011457026004791,0.2597831189632416
"We 
encourage Shell to continue to find ways of achieving this, as qualitative information helps shine light on the significance of the figures.",0.4059191644191742,0.3588979244232178,0.23518292605876923
We note that Shell also presents some data in graphic form in order to illustrate progress on strategic priorities over time.,0.5531713962554932,0.27131593227386475,0.1755126416683197
"The panel 
welcomed the inclusion of sections on topical issues such as the war in Ukraine and the cost of living.",0.4731543958187103,0.3906714916229248,0.1361740678548813
"It also noted that the section on 
Respecting nature was more informative and specific - a trend the panel hopes will continue.",0.4874649941921234,0.3175961971282959,0.1949387788772583
"The panel felt that more could be done to succinctly summarise progress on targets over the year as well as any changes to significant 
issues.",0.3664046823978424,0.3344011604785919,0.2991941273212433
This would assist in identifying what progress had been made since the previous year.,0.398655503988266,0.3685998320579529,0.23274467885494232
"In addition, more cross-referencing of topics, 
such as how human rights relate to supply chain, climate change and biodiversity, would help stakeholders better understand linkages and 
what Shell is doing to manage these topics.",0.4671761989593506,0.3709252178668976,0.16189850866794586
"Information related to the Task Force on Climate-related Disclosures could be leveraged in the 
report.",0.8628137707710266,0.11159791797399521,0.025588328018784523
"The panel recommends that Shell look to provide further information and data on the following:
■ energy affordability and accessibility;
■ the environmental, social and governance risks involved in the transition to renewable solutions (including solar) and in connection with 
biodiversity;
■ offsets, including a breakdown and how this relates to the overall strategy;
■ stakeholder engagements, particularly those related to achieving a just transition;
■ involvement with the Science Based Targets initiative's social aspects, including inclusion on the social return on investment created; and
■ how Shell has reviewed and prioritised its salient human rights risks.""",0.41538968682289124,0.3357402980327606,0.24887003004550934
